"","abcb4","abcc2","abcg2a","adgrl1a","agtr1b","aoc2","aplnrb","bcl6b","cldn5a","cxcr4b","dab2","dll4","eGFP","ehd2b","ehd3","esm1","fgf4","hey1","hey2","kdrl","lypd6","myo1hb","osr2","pdgfrb","pecam1","plvapb","prdx1","slc16a1a","slc2a1a","slc7a5","slco1c1","slco1d1","spock3","stab1","stab2","sult2st1","zgc.158423","zic2b","x","y","blood","cell_type","cor"
"cell_33488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27659,8612,"blood_846","VEC_2",0.283
"cell_33506",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,27587,8620,"blood_858","CapEC",0.426
"cell_33516",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,27428,8616,"blood_855","AEC",0.061
"cell_33563",0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19222,8625,"blood_857","other",-0.02
"cell_33572",3,0,0,0,1,0,0,0,3,0,1,3,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,1,0,0,1,20664,8634,"blood_860","VEC_2",0.061
"cell_33591",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,19850,8628,"blood_861","CapEC",0.49
"cell_33624",0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,27434,8630,"blood_855","other",-0.006
"cell_33639",0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28144,8636,"blood_863","UnEC",0.171
"cell_33657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,28091,8639,"blood_862","VEC_2",0.177
"cell_33676",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19575,8638,"blood_870","VEC_2",0.189
"cell_33709",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20517,8643,"blood_868","UnEC",0.136
"cell_33710",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28006,8643,"blood_869","AEC",0.057
"cell_33712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,20536,8646,"blood_874","CapEC",0.15
"cell_33722",0,0,0,0,0,0,0,0,0,1,0,2,3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,4,2,0,0,1,0,0,0,0,19563,8650,"blood_870","VEC_2",0.046
"cell_33730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19579,8652,"blood_870","VEC_2",0.159
"cell_33765",0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,19847,8658,"blood_861","CapEC",0.296
"cell_33788",1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,20121,8658,"blood_871","VEC_2",0.131
"cell_33800",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,20558,8658,"blood_874","CapEC",0.199
"cell_33808",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,20394,8659,"blood_879","VEC_2",0.212
